"kommune","parti","stemmer"
"0235 Ullensaker","Høyre",1361
"0235 Ullensaker","Kristelig Folkeparti",539
"0235 Ullensaker","Senterpartiet",1204
"0235 Ullensaker","Venstre",148
"0235 Ullensaker","Rød valgallianse",18
"0235 Ullensaker","Det nye Folkepartiet (1973-1977)",341
"0235 Ullensaker","Anders Langes parti (1973)",594
"0235 Ullensaker","Ensliges parti",13
"0235 Ullensaker","Kvinnenes frie folkevalgte",8
"0235 Ullensaker","Norges demokratiske parti",8
"0235 Ullensaker","Sosialistisk Valgforbund (1973)",716
"0236 Nes (Ak.)","Arbeiderpartiet",3973
"0236 Nes (Ak.)","Høyre",482
"0236 Nes (Ak.)","Kristelig Folkeparti",565
"0236 Nes (Ak.)","Senterpartiet",1142
"0236 Nes (Ak.)","Venstre",104
"0236 Nes (Ak.)","Rød valgallianse",21
"0236 Nes (Ak.)","Det nye Folkepartiet (1973-1977)",204
"0236 Nes (Ak.)","Anders Langes parti (1973)",283
"0236 Nes (Ak.)","Ensliges parti",14
"0236 Nes (Ak.)","Kvinnenes frie folkevalgte",6
"0236 Nes (Ak.)","Norges demokratiske parti",11
"0236 Nes (Ak.)","Sosialistisk Valgforbund (1973)",783
"0237 Eidsvoll","Arbeiderpartiet",4078
"0237 Eidsvoll","Høyre",661
"0237 Eidsvoll","Kristelig Folkeparti",637
"0237 Eidsvoll","Senterpartiet",1047
"0237 Eidsvoll","Venstre",189
"0237 Eidsvoll","Rød valgallianse",29
"0237 Eidsvoll","Det nye Folkepartiet (1973-1977)",239
"0237 Eidsvoll","Anders Langes parti (1973)",297
"0237 Eidsvoll","Ensliges parti",14
"0237 Eidsvoll","Kvinnenes frie folkevalgte",7
"0237 Eidsvoll","Norges demokratiske parti",9
"0237 Eidsvoll","Sosialistisk Valgforbund (1973)",964
"0238 Nannestad","Arbeiderpartiet",1742
"0238 Nannestad","Høyre",222
"0238 Nannestad","Kristelig Folkeparti",396
"0238 Nannestad","Senterpartiet",693
"0238 Nannestad","Venstre",83
"0238 Nannestad","Rød valgallianse",6
"0238 Nannestad","Det nye Folkepartiet (1973-1977)",92
"0238 Nannestad","Anders Langes parti (1973)",191
"0238 Nannestad","Ensliges parti",2
